Chinese_Lemma,English_Translation,POS
称,to weigh,NOUN
称呼,to call,NOUN
称赞,to praise,NOUN
移动,to move,NOUN
移民,to immigrate,NOUN
程序,procedures,NOUN
程度,degree (level or extent),NOUN
税,taxes,NOUN
稳定,steady,NOUN
空闲,idle,NOUN
空间,space,NOUN
突出,prominent,NOUN
窗帘,window curtains,NOUN
立刻,forthwith,NOUN
立即,immediately,NOUN
立方,cube,NOUN
竹子,bamboo,NOUN
等于,to equal,NOUN
等候,to wait,NOUN
等待,to wait,NOUN
答应,to promise,NOUN
签字,to sign (a signature),NOUN
简历,Curriculum Vitae (CV),NOUN
简直,simply,NOUN
管子,tube,NOUN
类,kind,NOUN
粒,grain,NOUN
粘贴,to stick,NOUN
粮食,foodstuff,NOUN
精力,energy,NOUN
糊涂,muddled,NOUN
糟糕,too bad,NOUN
系,to connect,NOUN
系统,system,NOUN
系领带,to tie one's necktie,NOUN
紧,tight,NOUN
紧急,urgent,NOUN
紫,purple,NOUN
繁荣,prosperous,NOUN
纪录,record,NOUN
纪律,discipline,NOUN
纪念,to commemorate,NOUN
纷纷,one after another,NOUN
组合,to assemble,NOUN
细节,details,NOUN
经典,the classics,NOUN
经营,to engage in (business etc),NOUN
结合,to combine,NOUN
结实,rugged,NOUN
结构,structure,NOUN
结论,conclusion,NOUN
结账,to pay the bill,NOUN
绕,to wind,NOUN
绝对,absolute,NOUN
统一,to unify,NOUN
统治,to rule (a country),NOUN
绳子,cord,NOUN
维护,to defend,NOUN
综合,comprehensive,NOUN
缓解,to blunt,NOUN
编辑,to edit,NOUN
缘故,reason,NOUN
缩小,to reduce,NOUN
缩短,to curtail,NOUN
缺乏,shortage,NOUN
罐头,tin,NOUN
罚款,(impose a) fine,NOUN
罪犯,criminal,NOUN
美术,art,NOUN
翅膀,wing,NOUN
翻,to turn over,NOUN
老实,honest,NOUN
老板,boss,NOUN
